",""years"",""ssh"""
1,1981,4.351898486
2,1982,3.008216291
3,1983,3.96626557
4,1984,4.566391105
5,1985,3.892858733
6,1986,3.049559387
7,1987,3.366248602
8,1988,3.272065995
9,1989,3.88824247
10,1990,3.851973625
11,1991,3.968886174
12,1992,4.066663183
13,1993,2.912042609
14,1994,3.570289233
15,1995,3.548668047
16,1996,3.465403352
17,1997,3.017006275
18,1998,3.935350871
19,1999,3.869622404
20,2000,4.229989255
21,2001,4.101133681
22,2002,3.119543116
23,2003,4.302739318
24,2004,2.842160744
25,2005,3.813415087
26,2006,2.730448515
27,2007,3.38920565
28,2008,3.610606395
29,2009,3.646558657
30,2010,3.817606251
31,2011,2.898008316
32,2012,4.014747913
33,2013,4.7477116
34,2014,3.683811571
35,2015,3.725725089
36,2016,4.800136855
37,2017,2.755572016
38,2018,2.917352396
39,2019,4.002806506
40,2020,2.613596507
